step,volume,free_surface_area,singularity_count
191,6.1525218189e-02,7.0499998331e-01,1.1000000000e+01
192,6.1525218189e-02,7.0999997854e-01,1.2000000000e+01
193,6.1550222337e-02,7.1499997377e-01,1.3000000000e+01
194,6.1425223947e-02,7.0499998331e-01,1.1000000000e+01
195,6.1425223947e-02,7.0999997854e-01,9.0000000000e+00
196,6.1425223947e-02,7.1499997377e-01,8.0000000000e+00
197,6.1400227249e-02,7.1999996901e-01,6.0000000000e+00
198,6.1475224793e-02,7.2499996424e-01,7.0000000000e+00
199,6.1525233090e-02,7.2999995947e-01,9.0000000000e+00
200,6.1625227332e-02,7.2499990463e-01,9.0000000000e+00
201,6.1525225639e-02,7.2999995947e-01,1.5000000000e+01
202,6.1600230634e-02,7.3499989510e-01,1.1000000000e+01
203,6.1625234783e-02,7.3999989033e-01,7.0000000000e+00
204,6.1550237238e-02,7.4499988556e-01,1.3000000000e+01
205,6.1600238085e-02,7.4999988079e-01,1.1000000000e+01
206,6.1525240541e-02,7.5499987602e-01,8.0000000000e+00
207,6.1575233936e-02,7.4499988556e-01,9.0000000000e+00
208,6.1550237238e-02,7.4999988079e-01,1.3000000000e+01
209,6.1575241387e-02,7.5499987602e-01,1.3000000000e+01
210,6.1625249684e-02,7.5999987125e-01,1.2000000000e+01
211,6.1600238085e-02,7.6499986649e-01,1.1000000000e+01
212,6.1650246382e-02,7.6999980211e-01,1.5000000000e+01
213,6.1600241810e-02,7.6999980211e-01,1.0000000000e+01
214,6.1725251377e-02,7.7499985695e-01,1.1000000000e+01
215,6.1775244772e-02,7.7499979734e-01,7.0000000000e+00
216,6.1700247228e-02,7.7499979734e-01,1.5000000000e+01
217,6.1575248837e-02,7.7999979258e-01,1.3000000000e+01
218,6.1575248837e-02,7.8999984264e-01,1.3000000000e+01
219,6.1675250530e-02,7.8999984264e-01,1.5000000000e+01
220,6.1575248837e-02,7.8999984264e-01,6.0000000000e+00
221,6.1625257134e-02,7.9999977350e-01,5.0000000000e+00
222,6.1625257134e-02,8.0499982834e-01,1.3000000000e+01
223,6.1700254679e-02,8.0499982834e-01,1.0000000000e+01
224,6.1650253832e-02,8.1499981880e-01,1.2000000000e+01
225,6.1750255525e-02,8.1499975920e-01,1.1000000000e+01
226,6.1775259674e-02,8.1999981403e-01,9.0000000000e+00
227,6.1825256795e-02,8.2499980927e-01,1.3000000000e+01
228,6.1750262976e-02,8.1999981403e-01,5.0000000000e+00
229,6.1775259674e-02,8.2999980450e-01,8.0000000000e+00
230,6.1775267124e-02,8.3499979973e-01,1.3000000000e+01
231,6.1750262976e-02,8.3999979496e-01,1.1000000000e+01
232,6.1625264585e-02,8.3999979496e-01,8.0000000000e+00
233,6.1675265431e-02,8.3999979496e-01,1.0000000000e+01
234,6.1675269157e-02,8.4499979019e-01,1.3000000000e+01
235,6.1725266278e-02,8.3999979496e-01,1.6000000000e+01
236,6.1750262976e-02,8.4999978542e-01,1.2000000000e+01
237,6.1850264668e-02,8.5499984026e-01,9.0000000000e+00
238,6.1700269580e-02,8.5499984026e-01,6.0000000000e+00
239,6.1850272119e-02,8.5999983549e-01,1.0000000000e+01
240,6.1825275421e-02,8.6499983072e-01,1.1000000000e+01
241,6.1900272965e-02,8.6499983072e-01,1.4000000000e+01
242,6.1950277537e-02,8.6999982595e-01,9.0000000000e+00
243,6.1850272119e-02,8.7999981642e-01,1.2000000000e+01
244,6.1825282872e-02,8.7499982119e-01,2.2000000000e+01
245,6.1775278300e-02,8.4999984503e-01,1.3000000000e+01
246,6.1800278723e-02,8.4999984503e-01,1.2000000000e+01
247,6.1925277114e-02,8.5499978065e-01,1.2000000000e+01
248,6.1850275844e-02,8.5499978065e-01,2.1000000000e+01
249,6.1925277114e-02,8.5999983549e-01,1.3000000000e+01
250,6.1925284564e-02,8.6499983072e-01,1.2000000000e+01
251,6.1925284564e-02,8.6499983072e-01,1.5000000000e+01
252,6.1875283718e-02,8.6999976635e-01,7.0000000000e+00
253,6.1900284141e-02,8.6999982595e-01,7.0000000000e+00
254,6.1825286597e-02,8.7499982119e-01,1.5000000000e+01
255,6.1925284564e-02,8.9999979734e-01,1.3000000000e+01
256,6.1750285327e-02,8.8999980688e-01,1.1000000000e+01
257,6.1850283295e-02,8.7999987602e-01,1.4000000000e+01
258,6.1850283295e-02,8.7999987602e-01,2.0000000000e+01
259,6.1875287443e-02,8.8499981165e-01,1.0000000000e+01
260,6.1950288713e-02,8.8999980688e-01,1.1000000000e+01
261,6.1950288713e-02,8.8999980688e-01,1.5000000000e+01
262,6.1925292015e-02,8.9499986172e-01,9.0000000000e+00
263,6.1900287867e-02,8.9499980211e-01,9.0000000000e+00
264,6.1950292438e-02,8.9999979734e-01,5.0000000000e+00
265,6.2025293708e-02,9.1499984264e-01,1.0000000000e+01
266,6.2025289983e-02,9.0499985218e-01,9.0000000000e+00
267,6.2025293708e-02,9.1999983788e-01,9.0000000000e+00
268,6.1925292015e-02,9.1999983788e-01,1.0000000000e+01
269,6.1950296164e-02,9.2999982834e-01,9.0000000000e+00
270,6.2000293285e-02,9.2499983311e-01,1.5000000000e+01
271,6.2000297010e-02,9.1499984264e-01,9.0000000000e+00
272,6.2000293285e-02,9.1999983788e-01,1.4000000000e+01
273,6.1975292861e-02,9.1999971867e-01,8.0000000000e+00
274,6.2025293708e-02,9.2499983311e-01,1.6000000000e+01
275,6.2050294131e-02,9.2999982834e-01,9.0000000000e+00
276,6.1925295740e-02,9.2499977350e-01,7.0000000000e+00
277,6.2075294554e-02,9.1999977827e-01,4.0000000000e+00
278,6.1900291592e-02,9.2999982834e-01,1.0000000000e+01
279,6.2000293285e-02,9.2499977350e-01,1.1000000000e+01
280,6.2025293708e-02,9.2999982834e-01,9.0000000000e+00
281,6.1950296164e-02,9.2499977350e-01,1.4000000000e+01
282,6.1925299466e-02,9.2999976873e-01,9.0000000000e+00
283,6.1875294894e-02,9.2999970913e-01,1.3000000000e+01
284,6.1875298619e-02,9.2499977350e-01,1.1000000000e+01
285,6.1950299889e-02,9.2999982834e-01,5.0000000000e+00
286,6.1900299042e-02,9.2999976873e-01,5.0000000000e+00
287,6.2000297010e-02,9.3499976397e-01,1.4000000000e+01
288,6.1950296164e-02,9.3499970436e-01,1.4000000000e+01
289,6.2025304884e-02,9.3999975920e-01,1.3000000000e+01
290,6.2025301158e-02,9.4499981403e-01,7.0000000000e+00
291,6.2000304461e-02,9.5499980450e-01,6.0000000000e+00
292,6.1925306916e-02,9.4999969006e-01,1.0000000000e+01
293,6.2000297010e-02,9.7999966145e-01,1.3000000000e+01
294,6.1975307763e-02,9.5999979973e-01,9.0000000000e+00
295,6.1975304037e-02,9.5999979973e-01,9.0000000000e+00
296,6.2025304884e-02,9.5499980450e-01,1.1000000000e+01
297,6.2100302428e-02,9.5999979973e-01,6.0000000000e+00
298,6.2100306153e-02,9.5999968052e-01,7.0000000000e+00
299,6.2100306153e-02,9.5499968529e-01,1.5000000000e+01
300,6.2125306576e-02,9.6499979496e-01,1.4000000000e+01
301,6.2075309455e-02,9.5999979973e-01,1.2000000000e+01
302,6.2100309879e-02,9.6999967098e-01,9.0000000000e+00
303,6.2000311911e-02,9.7499978542e-01,1.1000000000e+01
304,6.2125310302e-02,9.8999977112e-01,1.2000000000e+01
305,6.2025308609e-02,9.7999966145e-01,1.2000000000e+01
306,6.2025308609e-02,9.8499977589e-01,1.0000000000e+01
307,6.2025308609e-02,9.6499979496e-01,1.2000000000e+01
308,6.2000308186e-02,9.7499978542e-01,7.0000000000e+00
309,6.2050305307e-02,9.6499979496e-01,9.0000000000e+00
310,6.1950311065e-02,9.6499967575e-01,1.2000000000e+01
311,6.1925306916e-02,9.6499979496e-01,1.4000000000e+01
312,6.1975311488e-02,9.6499979496e-01,1.7000000000e+01
313,6.2025316060e-02,9.6499979496e-01,1.0000000000e+01
314,6.1975307763e-02,9.6499979496e-01,8.0000000000e+00
315,6.1925314367e-02,9.6499979496e-01,1.0000000000e+01
316,6.1875313520e-02,9.8499977589e-01,1.0000000000e+01
317,6.1825312674e-02,9.7499978542e-01,1.5000000000e+01
318,6.1825308949e-02,9.8499971628e-01,6.0000000000e+00
319,6.1725310981e-02,9.6999979019e-01,1.1000000000e+01
320,6.1800315976e-02,9.6999979019e-01,8.0000000000e+00
321,6.1750315130e-02,9.6999979019e-01,1.1000000000e+01
322,6.1750315130e-02,9.6999979019e-01,9.0000000000e+00
323,6.1775304377e-02,9.6999979019e-01,1.2000000000e+01
324,6.1800308526e-02,9.6999979019e-01,1.2000000000e+01
325,6.1800308526e-02,9.6999979019e-01,5.0000000000e+00
326,6.1825316399e-02,9.6999979019e-01,7.0000000000e+00
327,6.1800315976e-02,9.6999979019e-01,9.0000000000e+00
328,6.1900310218e-02,9.6999979019e-01,1.1000000000e+01
329,6.1775311828e-02,9.6999979019e-01,9.0000000000e+00
330,6.1775304377e-02,9.6999979019e-01,8.0000000000e+00
331,6.1750315130e-02,1.0099997520e+00,9.0000000000e+00
332,6.1675313860e-02,9.7499978542e-01,1.0000000000e+01
333,6.1775319278e-02,9.6499979496e-01,1.2000000000e+01
334,6.1675310135e-02,9.5499980450e-01,7.0000000000e+00
335,6.1650313437e-02,9.5499980450e-01,1.0000000000e+01
336,6.1650317162e-02,9.5499980450e-01,1.5000000000e+01
337,6.1600320041e-02,9.5499980450e-01,1.2000000000e+01
338,6.1650313437e-02,9.4499981403e-01,7.0000000000e+00
339,6.1625320464e-02,9.4499981403e-01,1.3000000000e+01
340,6.1625316739e-02,9.4499993324e-01,1.0000000000e+01
341,6.1675310135e-02,9.4499981403e-01,1.0000000000e+01
342,6.1650317162e-02,9.4499981403e-01,1.5000000000e+01
343,6.1600320041e-02,9.4499981403e-01,1.3000000000e+01
344,6.1575323343e-02,9.5499980450e-01,8.0000000000e+00
345,6.1500318348e-02,9.4999980927e-01,1.1000000000e+01
346,6.1450310051e-02,9.3999981880e-01,7.0000000000e+00
347,6.1550319195e-02,9.3999981880e-01,1.3000000000e+01
348,6.1525318772e-02,9.3999981880e-01,1.2000000000e+01
349,6.1450317502e-02,9.3999981880e-01,5.0000000000e+00
350,6.1500322074e-02,9.3999981880e-01,1.3000000000e+01
351,6.1475321651e-02,9.3999981880e-01,4.0000000000e+00
352,6.1450310051e-02,9.3999981880e-01,1.7000000000e+01
353,6.1400320381e-02,9.4999986887e-01,1.4000000000e+01
354,6.1450317502e-02,9.3999981880e-01,6.0000000000e+00
355,6.1425324529e-02,9.3999981880e-01,1.3000000000e+01
356,6.1425320804e-02,9.3999981880e-01,8.0000000000e+00
357,6.1475314200e-02,9.3999981880e-01,1.0000000000e+01
358,6.1375316232e-02,9.3999981880e-01,1.2000000000e+01
359,6.1175309122e-02,9.5499980450e-01,1.2000000000e+01
360,6.1225317419e-02,9.3499982357e-01,1.0000000000e+01
361,6.1225309968e-02,9.3499982357e-01,1.0000000000e+01
362,6.1250314116e-02,9.3499982357e-01,1.2000000000e+01
363,6.1200313270e-02,9.3499970436e-01,1.6000000000e+01
364,6.1200313270e-02,9.3499988317e-01,9.0000000000e+00
365,6.1225313693e-02,9.3499982357e-01,1.0000000000e+01
366,6.1275303364e-02,9.3499982357e-01,1.3000000000e+01
367,6.1175312847e-02,9.3499982357e-01,1.1000000000e+01
368,6.1200305820e-02,9.3499982357e-01,1.4000000000e+01
369,6.1250310391e-02,9.3499982357e-01,1.1000000000e+01
370,6.1175316572e-02,9.3499982357e-01,9.0000000000e+00
371,6.1200313270e-02,9.3499982357e-01,1.2000000000e+01
372,6.1225309968e-02,9.3499982357e-01,7.0000000000e+00
373,6.1175305396e-02,9.3499970436e-01,7.0000000000e+00
374,6.1025314033e-02,9.2999970913e-01,1.4000000000e+01
375,6.1050310731e-02,9.3999969959e-01,1.6000000000e+01
376,6.1075307429e-02,9.3999969959e-01,1.4000000000e+01
377,6.1025306582e-02,9.2999970913e-01,9.0000000000e+00
378,6.1100311577e-02,9.2999970913e-01,8.0000000000e+00
379,6.1075307429e-02,9.2999970913e-01,1.4000000000e+01
380,6.1050307006e-02,9.2999970913e-01,1.1000000000e+01
381,6.1100304127e-02,9.3999969959e-01,1.3000000000e+01
382,6.1025299132e-02,9.3999969959e-01,1.3000000000e+01
383,6.1100300401e-02,9.2999976873e-01,1.0000000000e+01
384,6.1000302434e-02,9.3999969959e-01,7.0000000000e+00
385,6.1150297523e-02,9.2999970913e-01,9.0000000000e+00
386,6.1200298369e-02,9.2999970913e-01,8.0000000000e+00
387,6.1050299555e-02,9.4999969006e-01,6.0000000000e+00
388,6.1050295830e-02,9.2999970913e-01,1.1000000000e+01
389,6.0900289565e-02,9.2499971390e-01,1.1000000000e+01
390,6.0950294137e-02,9.2499971390e-01,6.0000000000e+00
391,6.0900297016e-02,9.2499971390e-01,1.5000000000e+01
392,6.0925289989e-02,9.2499983311e-01,1.6000000000e+01
393,6.0950294137e-02,9.4499969482e-01,1.4000000000e+01
394,6.0900300741e-02,9.2499971390e-01,9.0000000000e+00
395,6.1000294983e-02,9.3499970436e-01,1.3000000000e+01
396,6.1025284231e-02,9.2499977350e-01,1.1000000000e+01
397,6.0950290412e-02,9.2499971390e-01,1.7000000000e+01
398,6.1000287533e-02,9.2499971390e-01,1.3000000000e+01
399,6.0975294560e-02,9.2499971390e-01,1.4000000000e+01
400,6.0875296593e-02,9.2499971390e-01,1.2000000000e+01
401,6.0900289565e-02,9.3499976397e-01,1.0000000000e+01
402,6.0975287110e-02,9.2499971390e-01,7.0000000000e+00
403,6.0875292867e-02,9.2499971390e-01,1.7000000000e+01
404,6.0875296593e-02,9.4499969482e-01,8.0000000000e+00
405,6.0725290328e-02,9.2999970913e-01,8.0000000000e+00
406,6.0725286603e-02,9.2999970913e-01,1.6000000000e+01
407,6.0725286603e-02,9.2999970913e-01,1.4000000000e+01
408,6.0850292444e-02,9.1999971867e-01,8.0000000000e+00
409,6.0875296593e-02,9.1999971867e-01,1.3000000000e+01
410,6.0750290751e-02,9.3999969959e-01,9.0000000000e+00
411,6.0850292444e-02,9.2999970913e-01,7.0000000000e+00
412,6.0875292867e-02,9.2999970913e-01,8.0000000000e+00
413,6.0825292021e-02,9.1999971867e-01,8.0000000000e+00
414,6.0825288296e-02,9.1999971867e-01,1.3000000000e+01
415,6.0900285840e-02,9.1999971867e-01,1.0000000000e+01
416,6.0750298202e-02,9.1999971867e-01,1.3000000000e+01
417,6.0750298202e-02,9.1999977827e-01,1.6000000000e+01
418,6.0750290751e-02,9.2999970913e-01,1.2000000000e+01
419,6.0800291598e-02,9.2999976873e-01,1.4000000000e+01
420,6.0750290751e-02,9.2999970913e-01,1.1000000000e+01
421,6.0600288212e-02,9.1999971867e-01,1.3000000000e+01
422,6.0625292361e-02,9.2499971390e-01,8.0000000000e+00
423,6.0550291091e-02,9.2499971390e-01,1.5000000000e+01
424,6.0600295663e-02,9.2499971390e-01,9.0000000000e+00
425,6.0675293207e-02,9.2499971390e-01,1.7000000000e+01
426,6.0675285757e-02,9.1499972343e-01,1.2000000000e+01
427,6.0700286180e-02,9.1499972343e-01,1.3000000000e+01
428,6.0700286180e-02,9.1499972343e-01,9.0000000000e+00
429,6.0625292361e-02,9.2499971390e-01,9.0000000000e+00
430,6.0750298202e-02,9.3499970436e-01,1.3000000000e+01
431,6.0725290328e-02,9.1499972343e-01,1.3000000000e+01
432,6.0700289905e-02,9.1499984264e-01,1.2000000000e+01
433,6.0675293207e-02,9.1499972343e-01,1.2000000000e+01
434,6.0725294054e-02,9.1499972343e-01,1.3000000000e+01
435,6.0625292361e-02,9.1499972343e-01,1.1000000000e+01
